Word,Type,Meaning,Page
tracteur,(n.m.),拖拉机,166
traditionnellement,(adv.),传统地,8
traduction,(n.f.),翻译,34
train,(n.m.),火车,180
traitement,(n.m.),"治疗、疗法",50
tranche de jambon,(n.f.),火腿片,96
tranquillement,(adv.),安安静静地,188
transporter,(v.t.),输送,52
travail,(n.m.),工作,"6, 78"
"travailleur, se",(adj.),勤奋的,30
traverser,(v.t.),穿越,166
tribunal,(n.m.),法庭,124
tricher,(v.i.),"作弊、赖皮",200
triste,(adj.),"伤心的、难过的",24
trois quarts d'heure,,三刻钟,110
trop,(adv.),"太、过于",56
trottinette,(n.f.),踏板车,178
trousse de maquillage,(n.f.),化妆包,82
trousse de toilette,(n.f.),旅行梳洗包,186
trouver (se),(v.pron.),觉得自己...,56
trouver,(v.t.),觉得,36
tube de mayonnaise,(n.m.),(管装)蛋黄酱,96
Union européenne,(n.pr.f.),欧洲联盟,154
unique,(adj.),唯一的,174
uniquement,(adv.),"仅仅、只有",62
université,(n.f.),大学,116
usuellement,(adv.),通常,126
utiliser,(v.t.),使用,2
vacance,(n.f.),假期,"8, 188"
vacances d'été,(n.f.pl.),暑假,116
vache,(n.f.),奶牛,166
vaisselle,(n.f.),餐具,80
valeur,(n.f.),"货币值、价值",136
valider,(v.t.),"认可、确认",138
valise,(n.f.),旅行箱,"186, 190"
vase,(n.m.),花瓶,72
veau,(n.m.),小牛肉,88
vélo,(n.m.),自行车,"178, 198"
"vendeur, se",(n.),售货员,124
Venezuela,(n.pr.m.),委内瑞拉,152
venir,(v.i.),来,8
vent,(n.m.),风,162
ventre,(n.m.),肚子,44
verglas,(n.m.),薄冰,162
vérité,(n.f.),"真相、事实",34
verre,(n.m.),"玻璃杯、高脚酒杯",102
versement,(n.m.),缴款,140
"vert, e",(adj.),绿色的,58
veste,(n.f.),上衣,62
victime,(n.f.),被害人,148
vidéo,(n.f.),录像,132
vie,(n.f.),生活,166
vie de famille,(n.f.),家庭生活,22
Vietnam,(n.pr.m.),越南,152
vieux (vieil) / vieille,(adj.),年老的,16
ville,(n.f.),城市,156
vin,(n.m.),葡萄酒,8
vinaigre,(n.m.),醋,90
visiter,(v.t.),参观,186
vitamine C,(n.f.),维生素 C, 52
vite,(adv.),快,178
vitre,(n.f.),玻璃,80
vitrine,(n.f.),玻璃橱窗,66
vivre,(v.i.),生活,20
vivre en couple,,两个人生活,20
vœu,(n.m.),心愿,6
voir,(v.t.),"见、看见",4
voix,(n.f.),"嗓子、声音",208
vol,(n.m.),航班,180
volaille,(n.f.),家禽,88
volant,(n.m.),方向盘,178
voler,(v.t.),偷窃,148
voleur,(n.m.),小偷,148
volontiers,(adv.),乐意地,36
vouloir,(v.t.),"想要、愿意",36
Vous avez l'heure?,,请问几点钟?,110
Vous désirez?,,您要买什么?,66
voyage,(n.m.),旅行,8
voyager,(v.i.),旅行,186
"voyageur, se",(n.m.),旅客,186
vraiment,(adv.),真正地,28
vue,(n.f.),"视力、眼光",50
wagon,(n.m.),车厢,180
wagon non-fumeurs,(n.m.),禁止吸烟的车厢,180
week-end,(n.m.),周末,8
yaourt,(n.m.),酸奶,90
yoga,(n.m.),瑜伽功,196
