Word,Type,Meaning,Page
cartouche,(n.f.),"笔芯、墨水芯",124
cas,(n.m.),"情况、场合",2
casque,(n.m.),"头盔、耳机","144, 216"
casquette,(n.f.),鸭舌帽,96
"cassé, e",(adj.),"打碎的、折断的",71
casserole,(n.f.),有柄平底锅,188
cassette,(n.f.),"盒式录音带、盒式录像带",144
catégorie,(n.f.),类型,134
caution,(n.f.),"担保；担保金、保证金",108
cavalier,(n.m.),骑手；骑士,204
cave,(n.f.),"酒窖；地窖、地下室",104
ceinture,(n.f.),"皮带、腰带、裤带",96
céleri,(n.m.),芹菜,62
célibataire,(adj.),"单身、未婚",24
cendrier,(n.m.),烟灰缸,190
centime,(n.m.),"生分（百分之一生分=1法郎）",166
céréale,(n.f.),谷物,135
céréales,(n.f. pl.),谷物食品（指麦片、玉米片等）,190
cerise,(n.f.),樱桃,182
cerisier,(n.m.),樱桃树,182
certitude,(n.f.),"确信、保证、确实",156
cerveau,(n.m.),大脑,76
cesse,(n.f.),停止,27
chagrin,(n.m.),"忧愁、悲伤",28
chagriner,(v.t.),"使忧伤、使忧愁",28
chaîne,(n.f.),音响组合,144
chair,(n.f.),"肌肉、肉；肉欲",68
chalet,(n.m.),山区（尖顶）木屋,56
chaleur,(n.f.),"热、热情；高温",46
"chaleureux, se",(adj.),"热情的、热烈的",162
chambre,(n.f.),"卧室、房间",102
chameau,(n.m.),骆驼,70
champ,(n.m.),田地,56
Champagne,(n.f.),香槟（省）,13
champignon,(n.m.),蘑菇,60
champion,(n.m.),冠军,202
championnat,(n.m.),锦标赛,202
chance,(n.f.),"运气、机遇",6
change,(n.m.),"交换、兑换；汇兑",170
"changeant, e",(adj.),"变化的、多变的",46
changement,(n.m.),变化,214
changer,(v.t.),"换、更换",96
chantier,(n.m.),工地,134
"chapeau, x",(n.m.),"帽（子）；致敬",6
"charcutier, ère",(n.),"猪肉食品商、制作猪肉食品者",135
chariot,(n.m.),"四轮货车、搬运车、手推车",180
charme,(n.m.),"魅力、诱惑力",86
chasse-neige,(n.f.),"除雪机、扫雪车",48
